LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,CASEINFO_NO,TK_CODE,DEF_RATE,ASSIGNED_RATE,RATE_UNIT,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
EN,1,9110,9110-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9111,9111-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9113,9113-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9121,9121-211,888888,DD,125,175,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9123,9123-211,888888,DD,125,100,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9124,9124-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9127,9127-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9129,9129-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9131,9131-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9132,9132-211,888888,DD,125,120,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9133,9133-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9145,9145-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9167,9167-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9172,9172-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9173,9173-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9197,9197-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9203,9203-211,888888,DD,125,120,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9209,9209-211,888888,DD,125,50,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9243,9243-211,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9275,9275-211,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9277,9277-221,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9289,9289-221,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9296,9296-221,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9312,9312-221,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50005,50005-01,888888,DNR,450,425,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50008,50008-01,888888,DNR,450,385,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50008,50008-02,888888,DNR,450,385,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50008,50008-03,888888,DNR,450,385,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50041,50041-01,888888,DNR,450,385,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50046,50046-01,888888,DNR,450,375,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50046,50046-03,888888,DNR,450,375,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50068,50068-01,888888,DNR,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50079,50079-01,888888,DNR,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50090,50090-01,888888,DNR,450,400,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50102,50102-01,888888,DNR,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50141,50141-01,888888,DNR,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50180,50180-01,888888,DNR,450,385,$,26,0,admin,2022-06-30,admin,2022-06-30
