PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
NAT,EN,21,222,200,8610,1,5216116010,NAT,NAT,,NAT,5216116010,5216116010,5216116010,0,ECH,0,,,,0,ADMIN
USW,EN,21,222,200,US7164,1,008327771641,USW,USW,,USW,008327771641,008327771641,008327771641,0,ECH,0,,,,0,ADMIN
WAG,EN,21,222,200,Z777,1,008536676485,WAG,WAG,,WAG,008536676485,008536676485,008536676485,0,ECH,0,,,,0,ADMIN
THR,EN,21,222,200,1/4X50,1,014965740420,THR,THR,,THR,014965740420,014965740420,014965740420,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,625-200,1,019495048701,DOR,DOR,,DOR,019495048701,019495048701,019495048701,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,740-664,1,019495062196,DOR,DOR,,DOR,019495062196,019495062196,019495062196,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,13502045,1,13502045,BES,BES,,BES,13502045,13502045,13502045,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,520-205,1,019495080695,DOR,DOR,,DOR,019495080695,019495080695,019495080695,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,520-206,1,019495080701,DOR,DOR,,DOR,019495080701,019495080701,019495080701,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,603-102,1,019495095279,DOR,DOR,,DOR,019495095279,019495095279,019495095279,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,603-106,1,019495095316,DOR,DOR,,DOR,019495095316,019495095316,019495095316,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,901-000,1,019495121770,DOR,DOR,,DOR,019495121770,019495121770,019495121770,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,902-306,1,019495126768,DOR,DOR,,DOR,019495126768,019495126768,019495126768,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,626-202,1,019495148067,DOR,DOR,,DOR,019495148067,019495148067,019495148067,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,611-258,1,019495148500,DOR,DOR,,DOR,019495148500,019495148500,019495148500,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,520-285,1,019495208563,DOR,DOR,,DOR,019495208563,019495208563,019495208563,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,520-286,1,019495208570,DOR,DOR,,DOR,019495208570,019495208570,019495208570,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,300-319,1,019495215936,DOR,DOR,,DOR,019495215936,019495215936,019495215936,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,090-034.1,1,019495216247,DOR,DOR,,DOR,019495216247,019495216247,019495216247,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-010,1,019495221692,DOR,DOR,,DOR,019495221692,019495221692,019495221692,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,973-004,1,019495227717,DOR,DOR,,DOR,019495227717,019495227717,019495227717,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,974-009,1,019495230236,DOR,DOR,,DOR,019495230236,019495230236,019495230236,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,615-188,1,019495230328,DOR,DOR,,DOR,019495230328,019495230328,019495230328,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,974-043,1,019495233176,DOR,DOR,,DOR,019495233176,019495233176,019495233176,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,419615,1,019495237860,DOR,DOR,,DOR,019495237860,019495237860,019495237860,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,931-301,1,019495293187,DOR,DOR,,DOR,019495293187,019495293187,019495293187,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-200,1,019495296959,DOR,DOR,,DOR,019495296959,019495296959,019495296959,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-201,1,019495296966,DOR,DOR,,DOR,019495296966,019495296966,019495296966,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,935-101,1,019495300335,DOR,DOR,,DOR,019495300335,019495300335,019495300335,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-303,1,019495352914,DOR,DOR,,DOR,019495352914,019495352914,019495352914,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,911-032,1,019495360926,DOR,DOR,,DOR,019495360926,019495360926,019495360926,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,931-109,1,019495383123,DOR,DOR,,DOR,019495383123,019495383123,019495383123,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,918-213,1,019495392071,DOR,DOR,,DOR,019495392071,019495392071,019495392071,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,635-518,1,019495413615,DOR,DOR,,DOR,019495413615,019495413615,019495413615,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,625-209,1,019495423980,DOR,DOR,,DOR,019495423980,019495423980,019495423980,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-219,1,019495448006,DOR,DOR,,DOR,019495448006,019495448006,019495448006,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-215,1,019495450641,DOR,DOR,,DOR,019495450641,019495450641,019495450641,0,ECH,0,,,,0,ADMIN
DOR,EN,21,222,200,917-216,1,019495450658,DOR,DOR,,DOR,019495450658,019495450658,019495450658,0,ECH,0,,,,0,ADMIN
